# Output of program pedigree.exe (v2.75)
#
# analysis of three-way cross
# population type: C3S4DH
# parent list: 
par	name
1	BLACK
2	BLUE
3	GREEN
# Number of individuals: 10
# List with individuals: 
indnr	name
1	cross0001
2	cross0002
3	cross0003
4	cross0004
5	cross0005
6	cross0006
7	cross0007
8	cross0008
9	cross0009
10	cross0010
# Number of markers or evaluation points: 21
posnr  chr      posmap
    1    1       0.000
    2    1       5.000
    3    1      10.000
    4    1      15.000
    5    1      20.000
    6    1      25.000
    7    1      30.000
    8    1      35.000
    9    1      40.000
   10    1      45.000
   11    1      50.000
   12    1      55.000
   13    1      60.000
   14    1      65.000
   15    1      70.000
   16    1      75.000
   17    1      80.000
   18    1      85.000
   19    1      90.000
   20    1      95.000
   21    1     100.000
#
# description of columns with IBD probabilities: 
#  column  1: both alleles inherited from parent 1
#  column  2: both alleles inherited from parent 2
#  column  3: both alleles inherited from parent 3
#  column  4: heterozygous, parents 1 and 3
#  column  5: heterozygous, parents 2 and 3
# 
# probability random allele of an individual derived from parent i, 
# where c[k] refers to the columns as defined above: 
#
#  P(parent=1) = c[1] + 0.5*c[4] 
#  P(parent=2) = c[2] + 0.5*c[5] 
#  P(parent=3) = c[3] + 0.5*c[4] + 0.5*c[5] 
# 
# IBD-probabilities , evaluation point 1, chr 1, 0.000cM
0.050	0.000	0.950	0.000	0.000
0.000	1.000	0.000	0.000	0.000
0.000	1.000	0.000	0.000	0.000
0.000	1.000	0.000	0.000	0.000
0.071	0.000	0.929	0.000	0.000
0.803	0.000	0.197	0.000	0.000
0.817	0.000	0.183	0.000	0.000
0.000	1.000	0.000	0.000	0.000
0.071	0.000	0.929	0.000	0.000
0.071	0.000	0.929	0.000	0.000
# IBD-probabilities , evaluation point 2, chr 1, 5.000cM
0.024	0.015	0.961	0.000	0.000
0.017	0.973	0.010	0.000	0.000
0.012	0.978	0.010	0.000	0.000
0.020	0.966	0.014	0.000	0.000
0.037	0.006	0.957	0.000	0.000
0.863	0.029	0.108	0.000	0.000
0.872	0.028	0.100	0.000	0.000
0.012	0.978	0.009	0.000	0.000
0.037	0.006	0.957	0.000	0.000
0.037	0.006	0.957	0.000	0.000
# IBD-probabilities , evaluation point 3, chr 1, 10.000cM
0.000	0.000	1.000	0.000	0.000
0.029	0.971	0.000	0.000	0.000
0.020	0.980	0.000	0.000	0.000
0.036	0.964	0.000	0.000	0.000
0.000	0.000	1.000	0.000	0.000
0.952	0.048	0.000	0.000	0.000
0.954	0.046	0.000	0.000	0.000
0.020	0.980	0.000	0.000	0.000
0.000	0.000	1.000	0.000	0.000
0.000	0.000	1.000	0.000	0.000
