# Output of program pedigree.exe (v2.75)
#
# analysis of biparental cross
# population type: F4
# parent list: 
par	name
1	BLACK
2	RED
# Number of individuals: 10
# List with individuals: 
indnr	name
1	cross0001
2	cross0002
3	cross0003
4	cross0004
5	cross0005
6	cross0006
7	cross0007
8	cross0008
9	cross0009
10	cross0010
# Number of markers or evaluation points: 21
posnr  chr      posmap
    1    1       0.000
    2    1       5.000
    3    1      10.000
    4    1      15.000
    5    1      20.000
    6    1      25.000
    7    1      30.000
    8    1      35.000
    9    1      40.000
   10    1      45.000
   11    1      50.000
   12    1      55.000
   13    1      60.000
   14    1      65.000
   15    1      70.000
   16    1      75.000
   17    1      80.000
   18    1      85.000
   19    1      90.000
   20    1      95.000
   21    1     100.000
#
# description of columns with IBD probabilities: 
#  column  1: both alleles inherited from parent 1
#  column  2: both alleles inherited from parent 2
#  column  3: heterozygous
# 
# probability random allele of an individual derived from parent i, 
# where c[k] refers to the columns as defined above: 
#
#  P(parent=1) = c[1] + 0.5*c[3] 
#  P(parent=2) = c[2] + 0.5*c[3] 
# 
# IBD-probabilities , evaluation point 1, chr 1, 0.000cM
1.000	0.000	0.000
0.000	0.000	1.000
0.000	0.000	1.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	0.000	1.000
0.000	1.000	0.000
0.000	1.000	0.000
1.000	0.000	0.000
0.000	1.000	0.000
# IBD-probabilities , evaluation point 2, chr 1, 5.000cM
0.990	0.005	0.005
0.015	0.015	0.971
0.526	0.034	0.441
0.004	0.992	0.004
0.004	0.992	0.004
0.015	0.015	0.971
0.005	0.990	0.005
0.004	0.992	0.004
0.477	0.482	0.041
0.004	0.989	0.007
# IBD-probabilities , evaluation point 3, chr 1, 10.000cM
1.000	0.000	0.000
0.000	0.000	1.000
1.000	0.000	0.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	0.000	1.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	1.000	0.000
# IBD-probabilities , evaluation point 4, chr 1, 15.000cM
0.491	0.470	0.039
0.015	0.015	0.971
0.987	0.004	0.010
0.004	0.992	0.004
0.004	0.992	0.004
0.015	0.015	0.971
0.005	0.990	0.005
0.004	0.992	0.004
0.005	0.990	0.005
0.004	0.988	0.008
# IBD-probabilities , evaluation point 5, chr 1, 20.000cM
0.000	1.000	0.000
0.000	0.000	1.000
1.000	0.000	0.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	0.000	1.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	1.000	0.000
# IBD-probabilities , evaluation point 6, chr 1, 25.000cM
0.250	0.704	0.046
0.041	0.041	0.918
0.968	0.011	0.021
0.011	0.979	0.010
0.011	0.979	0.010
0.041	0.041	0.918
0.225	0.728	0.047
0.011	0.979	0.010
0.015	0.972	0.013
0.048	0.773	0.178
# IBD-probabilities , evaluation point 7, chr 1, 30.000cM
0.494	0.447	0.059
0.054	0.054	0.892
0.958	0.016	0.026
0.015	0.972	0.013
0.015	0.972	0.013
0.054	0.054	0.892
0.461	0.477	0.062
0.015	0.972	0.013
0.020	0.962	0.018
0.073	0.544	0.383
# IBD-probabilities , evaluation point 8, chr 1, 35.000cM
0.741	0.216	0.044
0.041	0.041	0.918
0.969	0.012	0.019
0.011	0.979	0.010
0.011	0.979	0.010
0.041	0.041	0.918
0.715	0.237	0.047
0.011	0.979	0.010
0.015	0.972	0.014
0.062	0.295	0.643
# IBD-probabilities , evaluation point 9, chr 1, 40.000cM
1.000	0.000	0.000
0.000	0.000	1.000
1.000	0.000	0.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	0.000	1.000
1.000	0.000	0.000
0.000	1.000	0.000
0.000	1.000	0.000
0.000	0.000	1.000
# IBD-probabilities , evaluation point 10, chr 1, 45.000cM
0.961	0.022	0.017
0.222	0.079	0.699
0.951	0.020	0.029
0.017	0.969	0.014
0.017	0.969	0.014
0.061	0.198	0.741
0.953	0.026	0.021
0.017	0.969	0.014
0.139	0.800	0.061
0.082	0.217	0.701
# IBD-probabilities , evaluation point 11, chr 1, 50.000cM
0.939	0.035	0.026
0.402	0.111	0.487
0.922	0.032	0.047
0.028	0.950	0.022
0.028	0.950	0.022
0.085	0.362	0.553
0.927	0.042	0.031
0.028	0.950	0.022
0.279	0.622	0.100
0.118	0.392	0.491
